time,N1,N2,N3,N4,N5
25720,27.1293224449502,6.76978336138836,12.756481154366,17.0315056682274,6.12999723344322
25730,10.6389641892519,0.942426108832038,2.44931044812369,32.8809166052245,17.5355676671064
25740,2.91918881266406,0.114885728472944,0.382123656206696,34.7122680043198,26.5813143886377
25750,2.08388741007025,0.055185094208503,0.301840839278193,26.5683227900672,34.9161312038307
25760,7.78990483872932,1.93426846344083,16.1602754609809,10.4858954214264,30.5352572147512
25770,24.9304204532686,1.0835074439825,20.7255542053673,3.80754154893407,23.5151660832953
25780,18.963534852472,1.22190581642246,5.20596340450339,25.3081766822199,18.5318120509857
25790,9.43896791299467,0.254975993021789,1.65951288993008,26.01394659087,30.6850473687344
25800,26.4405200969184,0.979301791240659,11.8122617494421,13.0155822388824,20.6057175584252
25810,24.2141709210666,0.400545936834231,4.8204490860116,22.2856713260924,20.9137407292974
25820,20.6505495976464,0.209291121857028,2.31451858016147,25.4738845416718,23.3282376570525
25830,22.093194183185,0.224540409326622,1.84181302985436,25.9118463759188,21.9389222690996
25840,27.1517167301011,0.346528436516507,2.53974015821123,18.2711450456435,23.847440450502
25850,16.6518384209177,0.130779002361212,1.00767633962908,23.9616759055699,28.5828129433796
25860,17.1050019627135,0.348963041230204,1.13724380376367,28.0088295226864,24.0312175689375
25870,25.6826407277131,0.817422157571936,3.87197719515523,15.7259765130008,26.1281029251245
25880,11.5562782919393,0.404113169857413,0.771138951396952,29.3855036914129,27.5158742474534
25890,27.5310765398251,3.57866317114543,5.39846485351347,13.465255196972,21.7790215240383
25900,11.5535083953194,1.42060971070944,1.02041809384012,30.1610328385158,24.447478285593
25910,13.7497677264482,2.00292314444841,2.51394833292522,19.5862330149131,29.6469263213499
25920,25.2202080666284,8.53674782816744,18.7575487479493,5.61927708103979,15.7202429816936
25930,14.1054377586567,26.4248531860073,24.0706479527714,1.77755657185313,3.4815773612274
25940,24.3687444843938,12.6836903970074,22.8029340717681,2.3393691929194,11.8176952801175
25950,24.4125899167983,17.3865977595918,24.4530233959963,1.12322969489949,6.1994133842446
25960,23.3565219415537,19.1689052600549,25.6063860967632,0.70595447552427,4.00534992036166
25970,17.2161292472804,24.1177239430242,27.7161541764769,0.381790893480759,1.5291769766782
25980,16.2708626388632,27.788776505969,24.6329559880264,0.632177146622162,1.3318735065894
25990,27.3687888390338,15.528113415638,22.6849226354127,2.2848393664415,4.05214929880283
26000,10.2278333024847,29.7721157148042,27.9377230608175,0.626330856162618,0.727654953731383
26010,24.3180817585367,10.988769012239,21.3418601880382,5.46914624708341,10.4649130527538
26020,16.1416430185238,1.89685574414064,5.67890036750221,22.9958034028569,24.361643409575
26030,19.992063635654,1.24425187709622,4.40233744128126,23.4518638200434,22.8058532918908
26040,19.952402163203,0.860763268162784,2.720776599383,25.3148688644554,22.8772739295828
26050,24.690413352054,1.31317004796893,2.85611619308856,24.3871151182494,19.2577971646279
26060,22.1640726206392,0.838347673897144,3.33732286655506,18.9030526187126,26.5446307814962
26070,13.4715869833379,0.761677959131553,1.0846028225465,28.7522498744424,25.8764446737134
26080,25.9088107196566,3.59974471558323,6.96004844120933,12.8296577455587,23.1869569920019
26090,19.463775402275,27.8258699961025,8.09456275061005,4.49211188163101,6.00884737566033
26100,6.14372920285709,37.5288454617038,15.9825733845101,0.576215470072253,1.01572428724722
26110,1.63451397290179,37.4875663436909,22.8149553727844,0.0694710260033607,0.15571931532543
26120,0.416897845358349,34.6879758510877,29.9626087502169,0.00825115231663759,0.0233125566203839
26130,0.877013171137897,21.4121718865056,38.1945810323399,0.0333771705436681,0.16346165359018
26140,3.74276077360685,9.07273190480959,36.8576697551324,1.34603501383094,10.0175573735965
26150,11.3394012923568,3.20237423612554,27.6006275469353,1.65081843753433,26.0225853396328
26160,29.8713240675586,4.5344792518322,16.6013350950519,2.33285787902378,16.0299650064871
